58164,8.1343e+05,9
58160,84514,1
58148,5.5e+05,6
58144,8.2265e+05,9
58134,4.473e+05,5
58121,81761,1
58115,3.2842e+05,4
58109,3.3912e+05,4
58098,2.5812e+05,3
58091,3.2339e+05,4
58090,5.2888e+05,6
58075,5.4855e+05,6
58060,8.3398e+05,9
58043,1.9839e+05,2
58025,4.3887e+05,5
58022,8.6289e+05,9
58016,1.4686e+05,2
58015,2.6698e+05,3
57990,4.8218e+05,5
57983,5.3893e+05,6
57978,8.4001e+05,9
57967,1.3662e+05,2
57967,7.4714e+05,8
57964,1.0302e+05,1
57963,8.1767e+05,9
57962,14520,1
57960,5.1645e+05,6
57956,5.7427e+05,6
57950,1.6335e+05,2
57935,4.8138e+05,5
57918,3.5822e+05,4
57899,2.4745e+05,3
57880,8.8125e+05,10
57877,3.5735e+05,4
57876,6.1521e+05,7
57869,4.3997e+05,5
57858,8.1478e+05,9
57846,3.9905e+05,4
57836,6.1746e+05,7
57828,5.3695e+05,6
57821,7.5701e+05,8
57820,2.364e+05,3
57819,3.4883e+05,4
57806,3.5462e+05,4
57768,9.184e+05,10
57750,3.718e+05,4
57742,2.0349e+05,2
57741,1.7564e+05,2
57721,5.4649e+05,6
57706,6.2668e+05,7
57698,2.7076e+05,3
57695,1.1606e+05,1
57695,1.4552e+05,2
57665,3.0755e+05,3
57634,5.1342e+05,6
57626,3.7179e+05,4
57621,3.5766e+05,4
57587,3.6998e+05,4
57571,6.2503e+05,7
57547,8.9296e+05,10
57528,3.4276e+05,4
57506,3.4197e+05,4
57501,8.1243e+05,9
57475,3.4077e+05,4
57474,6.4735e+05,7
57469,2.7586e+05,3
57430,8.0634e+05,9
57421,7.525e+05,8
57413,3.8116e+05,4
57406,9.3155e+05,10
57390,2.8329e+05,3
57367,7.7999e+05,9
57364,2.1027e+05,2
57360,8.7348e+05,10
57348,9.5943e+05,10
57343,7.6146e+05,8
57334,2.6669e+05,3
57323,9.1952e+05,10
57319,1.4475e+05,2
57304,5.2868e+05,6
57285,60155,1
57282,3.3037e+05,4
57278,4.3855e+05,5
57277,4.5588e+05,5
57270,8.1419e+05,9
57267,1.6198e+05,2
57245,2.6002e+05,3
57238,5.9141e+05,7
57233,5.4728e+05,6
57223,8.7841e+05,10
57209,6.9239e+05,8
57209,6.3468e+05,7
57205,8.1271e+05,9
57200,3.2245e+05,4
57192,1.532e+05,2
57178,6.1151e+05,7
57177,2.5043e+05,3
57175,2.3891e+05,3
57172,2.4824e+05,3
57135,5.1408e+05,6
57132,8.0821e+05,9
57115,5.5393e+05,6
57064,8.2017e+05,9
57061,9.4107e+05,10
57059,4.7095e+05,5
57052,2.6093e+05,3
57043,8.1781e+05,9
57039,7.3642e+05,8
57030,5.4089e+05,6
57019,8.0351e+05,9
57009,3.2364e+05,4
57008,3.4772e+05,4
57003,9.2611e+05,10
56980,3.262e+05,4
56968,45004,1
56966,2.3373e+05,3
56944,1.6826e+05,2
56941,6.6085e+05,7
56928,3.5936e+05,4
56927,9.516e+05,10
56917,8.4032e+05,9
56913,9.1476e+05,10
56910,2.5955e+05,3
56908,2.9778e+05,3
56905,6.2771e+05,7
56898,42595,1
56884,4.3853e+05,5
56880,55336,1
56879,1.901e+05,2
56850,7.9512e+05,9
56847,49930,1
56825,8.1902e+05,9
56822,1.7854e+05,2
56782,4.6985e+05,5
56779,2.4293e+05,3
56776,2.6188e+05,3
56768,9.3271e+05,10
56737,4.4368e+05,5
56709,5.4183e+05,6
56693,2.4389e+05,3
56672,3.858e+05,4
56664,4.3987e+05,5
56664,3.5058e+05,4
56662,6.2546e+05,7
56654,3.4617e+05,4
56638,4.6348e+05,5
56627,9.0731e+05,10
56619,71866,1
56604,4.4794e+05,5
56595,1.1927e+05,1
56573,1.9694e+05,2
56572,6.3297e+05,7
56565,1.6527e+05,2
56560,8.5673e+05,9
56551,6.8904e+05,8
56543,9.1649e+05,10
56518,72709,1
56517,64915,1
56496,4.1069e+05,5
56477,5.1635e+05,6
56477,6.0504e+05,7
56464,6.259e+05,7
56427,4.4244e+05,5
56425,2.6058e+05,3
56422,9.6738e+05,10
56421,6.8353e+05,8
56418,6.3643e+05,7
56395,7.3631e+05,8
56367,3.4911e+05,4
56360,6.2119e+05,7
56352,4.238e+05,5
56341,3.4265e+05,4
56331,4.2362e+05,5
56328,5.4022e+05,6
56319,88602,1
56278,6.2013e+05,7
56269,5.6957e+05,6
56228,8.8402e+05,10
56223,5.6781e+05,6
56217,6.2337e+05,7
