0	0	0	0	0	1
0.08	0.08	0.1	0.24	0.9	4
0.06	0.06	0.05	0.25	0.33	2
0.1	0.1	0.15	0.65	0.3	3
0.08	0.08	0.08	0.98	0.24	2
0.09	0.15	0.4	0.1	0.66	3
0.1	0.1	0.43	0.29	0.56	3
0.15	0.02	0.34	0.4	0.01	1
0.2	0.14	0.35	0.72	0.25	2
0	0	0.5	0.2	0.85	4
0.18	0.18	0.55	0.3	0.81	4
0.06	0.06	0.51	0.41	0.3	2
0.1	0.1	0.52	0.78	0.34	3
0.1	0.1	0.7	0.15	0.9	4
0.2	0.2	0.7	0.3	0.6	3
0.12	0.12	0.75	0.35	0.8	4
0.05	0.07	0.7	0.01	0.05	1
0.1	0.25	0.1	0.08	0.33	2
0.15	0.32	0.05	0.27	0.29	2
0.2	0.29	0.25	0.49	0.56	3
0.12	0.28	0.2	0.78	0.2	2
0.18	0.3	0.37	0.12	0.66	3
0.1	0.27	0.31	0.29	0.65	3
0.18	0.31	0.32	0.42	0.28	2
0.06	0.29	0.35	0.76	0.25	2
0.09	0.3	0.68	0.18	0.85	4
0.04	0.28	0.55	0.25	0.1	1
0.09	0.255	0.6	0.45	0.25	2
0.08	0.325	0.62	0.94	0.56	4
0.15	0.275	0.8	0.21	0.81	4
0.12	0.245	0.75	0.31	0.59	3
0.15	0.295	0.75	0.65	0.24	2
0.1	0.256	0.7	0.76	0.16	2
0.18	0.32	0.04	0.19	0.82	4
0.2	0.45	0.28	0.31	0.78	4
0.06	0.35	0.12	0.43	0.29	2
0.1	0.42	0.22	0.72	0.26	2
0.18	0.4	0.32	0.08	0.33	2
0.09	0.33	0.31	0.26	0	1
0.19	0.38	0.38	0.49	0.45	3
0.02	0.33	0.36	0.76	0.1	2
0.2	0.49	0.6	0.2	0.78	4
0.14	0.49	0.55	0.29	0.6	3
0.18	0.33	0.61	0.64	0.25	3
0.115	0.35	0.65	0.27	0.04	1
0.17	0.36	0.8	0.14	0.66	3
0.1	0.39	0.75	0.31	0.62	3
0.13	0.39	0.85	0.38	0.77	4
0.18	0.34	0.71	0.71	0.9	4
0.09	0.51	0.02	0.18	0.67	3
0.06	0.5	0.09	0.28	0.25	2
0.23	0.7	0.19	0.51	0.45	3
0.09	0.55	0.12	0.78	0.05	2
0.24	0.75	0.32	0.18	0.86	4
